vlookup server,vlookup sw,Index,Facility,Card,Cable Length,Dell P/N,Cable Type,Cable Color,Server Transceiver,Switch Transceiver,Row,Rack,Node,Sled,Interface,Row,Rack,Switch,Port,Label,TSS Top,TSS Bottom,,,U Height,Device Position,Sled number,CMSH Switchport config commands - server hostname column must be populated,"CMSH rackview config commands - Server Hostname, U height and Device Position columns must be populated"
,2U22,79,,open,,,,,,,,,,,,B5,2,U22,23,,,,,,,,,,
,2U22,80,,open,,,,,,,,,,,,B5,2,U22,24,,,,,,,,,,
,2U22,81,,open,,,,,,,,,,,,B5,2,U22,25,,,,,,,,,,
,2U22,82,,open,,,,,,,,,,,,B5,2,U22,26,,,,,,,,,,
,2U22,83,,open,,,,,,,,,,,,B5,2,U22,27,,,,,,,,,,
,2U22,84,,open,,,,,,,,,,,,B5,2,U22,28,,,,,,,,,,
,2U22,85,,open,,,,,,,,,,,,B5,2,U22,29,,,,,,,,,,
,2U22,86,,open,,,,,,,,,,,,B5,2,U22,30,,,,,,,,,,
,2U22,87,,open,,,,,,,,,,,,B5,2,U22,31,,,,,,,,,,
,2U22,88,,open,,,,,,,,,,,,B5,2,U22,32,,,,,,,,,,
,2U22,89,,open,,,,,,,,,,,,B5,2,U22,33,,,,,,,,,,
,2U22,90,,open,,,,,,,,,,,,B5,2,U22,34,,,,,,,,,,
,2U22,91,,open,,,,,,,,,,,,B5,2,U22,35,,,,,,,,,,
,2U22,92,,open,,,,,,,,,,,,B5,2,U22,36,,,,,,,,,,
,2U22,93,,open,,,,,,,,,,,,B5,2,U22,37,,,,,,,,,,
,2U22,94,,open,,,,,,,,,,,,B5,2,U22,38,,,,,,,,,,
,2U22,95,,open,,,,,,,,,,,,B5,2,U22,39,,,,,,,,,,
,2U22,96,,open,,,,,,,,,,,,B5,2,U22,40,,,,,,,,,,
,2U22,97,,open,,,,,,,,,,,,B5,2,U22,41,,,,,,,,,,
,2U22,98,,open,,,,,,,,,,,,B5,2,U22,42,,,,,,,,,,
,2U22,99,,open,,,,,,,,,,,,B5,2,U22,43,,,,,,,,,,
,2U22,100,,open,,,,,,,,,,,,B5,2,U22,44,,,,,,,,,,
,2U22,101,,open,,,,,,,,,,,,B5,2,U22,45,,,,,,,,,,
,2U22,102,,open,,,,,,,,,,,,B5,2,U22,46,,,,,,,,,,
,2U22,103,,open,,,,,,,,,,,,B5,2,U22,47,,,,,,,,,,
,2U22,104,,open,,,,,,,,,,,,B5,2,U22,48,,,,,,,,,,
,2U22,105,,open,,,,,,,,,,,,B5,2,U22,49-50 QSFP-DD,,,,,,,,,,
,2U22,106,,open,,,,,,,,,,,,B5,2,U22,49-50 QSFP-DD,,,,,,,,,,
,2U22,107,,open,,,,,,,,,,,,B5,2,U22,51-52 QSFP-DD,,,,,,,,,,
,2U22,108,,open,,,,,,,,,,,,B5,2,U22,51-52 QSFP-DD,,,,,,,,,,
,2U22,109,,open,,,,,,,,,,,,B5,2,U22,53 - QSFP28,,,,,,,,,,
,2U22,110,,open,,,,,,,,,,,,B5,2,U22,54 - QSFP28,,,,,,,,,,
in use - ISLin use - ISL,2U22,111,TSS,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,B5,2,U22,55 - QSFP28,,,,,,,,,,
in use - ISLin use - ISL,2U22,112,TSS,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,in use - ISL,B5,2,U22,56 - QSFP28,,,,,,,,,,
2U20,3U22,113,TSS,iSCSI A2,7M,470-ACIF,SFP28 TwinAx,Black,N/A,N/A,B5,2,U20,-SPA,A2,B5,3,U22,1,"B5 R2 U20 iSCSI A2
B5 R3 SW U22 P1",B5 R2 U20 iSCSI A2,B5 R3 SW U22 P1,,,,,,,
2U20,3U22,114,TSS,iSCSI A3,7M,470-ACIF,SFP28 TwinAx,Black,N/A,N/A,B5,2,U20,-SPA,A3,B5,3,U22,2,"B5 R2 U20 iSCSI A3
B5 R3 SW U22 P2",B5 R2 U20 iSCSI A3,B5 R3 SW U22 P2,,,,,,,
2U20,3U22,115,TSS,iSCSI B2,7M,470-ACIF,SFP28 TwinAx,Black,N/A,N/A,B5,2,U20,-SPB,B2,B5,3,U22,3,"B5 R2 U20 iSCSI B2
B5 R3 SW U22 P3",B5 R2 U20 iSCSI B2,B5 R3 SW U22 P3,,,,,,,
